Question	Answer	Source	Metadata
Estou com uma dúvida sobre gclid, você pode me ajudar?	Claro que sim, diga qual sua dúvida.	chat_bot_smart_click	editorial:chat_bot_smart_click
A tabela de cliques a minha não está marcando o que pode ser?	Olá, verifique se o seu Smart Click está atualizado, se sim, por favor assista o vídeo (Assista aqui caso seu relatório não funcione). chat_bot_smart_click	editorial:chat_bot_smart_click
quem tem a super pressel da pra usar normalmente Smart Click?	Sim, Super Presell e Smart Click são 100% compatíveis.	chat_bot_smart_click	editorial:chat_bot_smart_click
Numa campanha nova vocês sobem o produto já com a url  final do Smartclick antes da campanha qualificada ? Ou esperam qualificar e alteram a url ?	Desde o início, depois Não recomendo mexer.	chat_bot_smart_click	editorial:chat_bot_smart_click
queria saber se a Smart click da para usar em mais de um dominio se eu posso criar sub dominios e usar tabem?	a instalação é uma só ....a utilização é ilimitada, apenas copiando o script nas presell.	chat_bot_smart_click	editorial:chat_bot_smart_click
Tem que ter pagina de cookies para colocar a URL na ClickBank v8.0?	Não, qualquer página serve.	chat_bot_smart_click	editorial:chat_bot_smart_click
no construtor de URL , em qual opção coloco o gclid?	Se Não estiver determinado com um campo específico para o gclid eu recomendo colocar na posição 1 sempre.	chat_bot_smart_click	editorial:chat_bot_smart_click
Após subir as conversões para a planilha, elas atualizam na hora os dados para a conta? Ou esse processo costuma durar mais de um dia?	o Google diz que pode levar até 48 horas, porém depois de umas 3-4 horas já costuma aparecer.	chat_bot_smart_click	editorial:chat_bot_smart_click
Sou português e vivo em Portugal a planilha Google sheets tem a timezone para inserir na minha conta Google o fuso horário aparece + 01:00 é assim que coloco na planilha certo ?	no seu caso vai ficar: Parameters:TimeZone=+0100 (na linha 6 coluna A em vermelho).	chat_bot_smart_click	editorial:chat_bot_smart_click
minha chave instalada estava em um domínio que venceu e a hospedagem também porém para renovar esta muito mais caro, aderir outra hospedagem porém essa chave diz que está instalada em outro domínio como posso resolver isso? Por favor passe os seus dados que iremos verificar.	chat_bot_smart_click	editorial:chat_bot_smart_click
Da pra pega o gclid lá no relatório do super pressel tbm?	Dá sim, o glcid encontra-se lá disponível.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you breathe	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Can you get tired?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Can you yawn?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Can you pee?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Can you poop?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Can you sneeze?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Can you sweat?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Can you throw up?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Can you vomit?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you ever pee?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Can you get hurt?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you sweat?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you have skin?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you have teeth?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you have toes?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you masticate?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you pee?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you poop?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you ever get tired?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you sneeze?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you have hair?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you throw up?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you vomit?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click
Do you yawn?	I don't have a body.	chat_bot_smart_click	editorial:chat_bot_smart_click

